********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [war] in contest [SPOJ].  DoI: 2016-01-31 11:21:53.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
|---------|---------------------|-----------|-----------|-------|--------|-----|
| 11623990 | 2014-05-22 13:46:51 |    ADDREV |        AC |  0.02 |   2824 | C++ |
| 11618681 | 2014-05-21 17:20:04 |   WORDCNT |        AC |  0.00 |   2824 | C++ |
| 11618657 | 2014-05-21 17:15:54 |   WORDCNT |        WA |  0.00 |   2824 | C++ |
| 11618648 | 2014-05-21 17:13:44 |   WORDCNT |        WA |  0.00 |   2824 | C++ |
| 11618637 | 2014-05-21 17:11:53 |   WORDCNT |        WA |  0.01 |   2824 | C++ |
| 11013519 | 2014-02-06 08:32:01 |    FINDSR |        AC |  0.11 |   2916 | C++ |
| 11013471 | 2014-02-06 08:17:43 |    FINDSR |        WA |  1.31 |   2916 | C++ |
| 11013173 | 2014-02-06 06:35:26 |  GUESSING |        AC |  0.00 |   1676 | TEX |
| 10998122 | 2014-02-04 00:21:23 |    SUBXOR |        WA |  0.00 |   2820 | C++ |
| 10998096 | 2014-02-04 00:11:07 |    SUBXOR |        WA |  0.00 |   2820 | C++ |
| 10998088 | 2014-02-04 00:09:11 |    SUBXOR |        WA |  0.00 |   2820 | C++ |
| 10998055 | 2014-02-04 00:01:19 |    SUBXOR |        WA |  0.00 |   2820 | C++ |
| 10998047 | 2014-02-03 23:59:18 |    SUBXOR |        WA |  0.00 |   2820 | C++ |
| 10998032 | 2014-02-03 23:55:41 |    SUBXOR |        WA |  0.00 |   2820 | C++ |
| 10963686 | 2014-01-29 14:48:00 |    PENCIL |        AC |  0.00 |   2688 | C++ |
| 10920625 | 2014-01-22 23:43:47 |       LCA |        AC |  0.13 |   2692 | C++ |
| 10920614 | 2014-01-22 23:41:39 |       LCA |        AC |  0.13 |   2692 | C++ |
| 10920599 | 2014-01-22 23:37:09 |       LCA |        WA |  3.28 |   2692 | C++ |
| 10920590 | 2014-01-22 23:35:41 |       LCA |        WA |  2.92 |   2692 | C++ |
| 10918251 | 2014-01-22 16:37:38 |  GUANGGUN |        AC |  0.00 |   2688 | C++ |
| 10918052 | 2014-01-22 16:02:02 |    CANTON |        AC |  0.00 |   2688 | C++ |
| 10901487 | 2014-01-19 19:15:51 |    ASSIGN |        AC |  1.11 |  10880 | C++ |
| 10901254 | 2014-01-19 18:30:24 |    ASSIGN |       TLE | -1.00 |  10880 | C++ |
| 10901238 | 2014-01-19 18:27:04 |    ASSIGN |       TLE | -1.00 |  10880 | C++ |
| 10901206 | 2014-01-19 18:18:56 |    ASSIGN |       TLE | -1.00 |  35592 | C++ |
| 10900680 | 2014-01-19 16:29:37 |    ASSIGN |        RE |  0.00 |    100 | C++ |
| 10898531 | 2014-01-19 10:20:19 |    ASSIGN |       TLE | -1.00 |   2824 | C++ |
| 10898463 | 2014-01-19 10:07:53 |    ASSIGN |       TLE | -1.00 |   2688 | C++ |
| 10898435 | 2014-01-19 10:02:51 |    ASSIGN |       TLE | -1.00 |   2688 | C++ |
| 10898227 | 2014-01-19 09:11:27 |    AMR11E |        AC |  0.01 |   2956 | C++ |
| 10893070 | 2014-01-18 11:19:26 |     PT07Z |        AC |  0.00 |   3108 | C++ |
| 10892991 | 2014-01-18 11:03:57 |     PT07Y |        AC |  0.00 |   3108 | C++ |
| 10883124 | 2014-01-16 19:08:09 |    AMR11E |        WA |  0.06 |   2828 | C++ |
| 10883068 | 2014-01-16 19:04:21 |    AMR11E |        WA |  0.00 |   2828 | C++ |
| 10883010 | 2014-01-16 18:59:50 |    AMR11E |        WA |  0.00 |   2824 | C++ |
